"TLID","lat","lon","N","P","K","TY","Treatment","var","SoilType"
"120",11.14534426,6.957319817,62,14,27,2547,"N62,P14,K27","Sammaz 15","Sandy Loam"
"120",11.14534426,6.957319817,67,20,0,2715,"N67,P20,K0","Sammaz 15","Sandy Loam"
"132",11.15359976,6.986974591,46,0,0,664,"N46,P0,K0","Sammaz 15","Sandy Loam"
"132",11.15359976,6.986974591,68,10,19,2946,"N68,P10,K19","Sammaz 15","Sandy Loam"
"132",11.15359976,6.986974591,62,14,27,2351,"N62,P14,K27","Sammaz 15","Sandy Loam"
"132",11.15359976,6.986974591,67,20,0,2420,"N67,P20,K0","Sammaz 15","Sandy Loam"
"131",11.10606225,6.982401874,46,0,0,1828,"N46,P0,K0","Sammaz 15","Sandy Loam"
"131",11.10606225,6.982401874,68,10,19,3108,"N68,P10,K19","Sammaz 15","Sandy Loam"
"131",11.10606225,6.982401874,62,14,27,2232,"N62,P14,K27","Sammaz 15","Sandy Loam"
"131",11.10606225,6.982401874,67,20,0,2872,"N67,P20,K0","Sammaz 15","Sandy Loam"
"130",11.1079859,6.981663697,46,0,0,1358,"N46,P0,K0","Sammaz 15","Sandy Loam"
"130",11.1079859,6.981663697,68,10,19,2620,"N68,P10,K19","Sammaz 15","Sandy Loam"
"130",11.1079859,6.981663697,62,14,27,3161,"N62,P14,K27","Sammaz 15","Sandy Loam"
"130",11.1079859,6.981663697,67,20,0,3139,"N67,P20,K0","Sammaz 15","Sandy Loam"
"126",11.10527921,6.973256206,46,0,0,1110,"N46,P0,K0","Sammaz 15","Sandy Loam"
"126",11.10527921,6.973256206,62,14,27,1922,"N62,P14,K27","Sammaz 15","Sandy Loam"
"126",11.10527921,6.973256206,67,20,0,2171,"N67,P20,K0","Sammaz 15","Sandy Loam"
"128",11.10563063,6.979382878,46,0,0,1957,"N46,P0,K0","Sammaz 15","Sandy Loam"
"128",11.10563063,6.979382878,68,10,19,5839,"N68,P10,K19","Sammaz 15","Sandy Loam"
"128",11.10563063,6.979382878,62,14,27,5410,"N62,P14,K27","Sammaz 15","Sandy Loam"
"128",11.10563063,6.979382878,67,20,0,5026,"N67,P20,K0","Sammaz 15","Sandy Loam"
"129",11.10307597,6.981286356,68,10,19,1425,"N68,P10,K19","Sammaz 15","Sandy Loam"
"129",11.10307597,6.981286356,62,14,27,1633,"N62,P14,K27","Sammaz 15","Sandy Loam"
"129",11.10307597,6.981286356,67,20,0,1796,"N67,P20,K0","Sammaz 15","Sandy Loam"
"15",8.981018221,11.02450363,46,0,0,4054,"N46,P0,K0","Sammaz 15","Sandy Loam"
"15",8.981018221,11.02450363,68,10,19,5048,"N68,P10,K19","Sammaz 15","Sandy Loam"
"15",8.981018221,11.02450363,62,14,27,5450,"N62,P14,K27","Sammaz 15","Sandy Loam"
"15",8.981018221,11.02450363,67,20,0,5016,"N67,P20,K0","Sammaz 15","Sandy Loam"
"19",8.992859928,11.03239429,46,0,0,3055,"N46,P0,K0","Sammaz 15","Sandy Loam"
"19",8.992859928,11.03239429,68,10,19,3381,"N68,P10,K19","Sammaz 15","Sandy Loam"
"19",8.992859928,11.03239429,62,14,27,4383,"N62,P14,K27","Sammaz 15","Sandy Loam"
"19",8.992859928,11.03239429,67,20,0,4307,"N67,P20,K0","Sammaz 15","Sandy Loam"
"27",8.905048246,11.07257728,46,0,0,2481,"N46,P0,K0","Sammaz 15","Sandy Loam"
